# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
LISBOA 1931 107 112 138 148 155 197 205 205 199 174 144 96
LISBOA 1932 101 94 130 128 155 184 207 225 206 165 140 117
LISBOA 1933 97 103 130 158 187 184 223 229 194 165 119 83
LISBOA 1934 93 95 110 121 169 193 213 202 200 184 111 133
LISBOA 1935 86 103 135 137 141 179 213 216 201 162 130 124
LISBOA 1936 127 124 122 140 142 166 199 223 202 166 126 99
LISBOA 1937 108 126 118 152 166 181 220 215 200 171 150 107
LISBOA 1938 104 109 145 160 163 202 206 213 184 179 156 113
LISBOA 1939 124 118 125 140 172 181 208 203 204 165 135 120
LISBOA 1940 115 126 144 152 161 196 204 239 205 161 133 98
LISBOA 1941 94 115 125 140 152 204 221 226 220 191 129 93
LISBOA 1942 105 97 136 143 169 199 222 212 208 184 135 122
LISBOA 1943 126 116 136 172 188 214 216 232 189 170 128 109
LISBOA 1944 100 104 132 168 190 215 220 220 210 161 138 106
LISBOA 1945 83 124 146 180 171 214 212 209 210 194 160 127
LISBOA 1946 100 124 126 148 148 191 234 208 202 182 145 111
LISBOA 1947 100 116 137 167 161 196 215 227 210 192 160 111
LISBOA 1948 124 125 160 145 161 214 217 220 216 190 156 132
LISBOA 1949 112 128 137 172 167 209 234 243 206 188 149 116
LISBOA 1950 104 123 138 152 167 199 224 214 204 176 154 107
LISBOA 1951 114 112 133 154 157 206 219 218 222 181 138 125
LISBOA 1952 99 120 150 150 178 211 222 222 200 181 151 124
LISBOA 1953 104 112 140 154 200 193 224 243 226 178 156 133
LISBOA 1954 96 106 129 151 178 191 220 213 210 203 160 118
LISBOA 1955 140 126 130 177 190 210 216 229 228 190 147 138
LISBOA 1956 118 78 126 146 186 208 219 212 194 185 124 100
LISBOA 1957 92 125 148 150 167 196 234 232 222 179 138 100
LISBOA 1958 117 134 136 152 177 194 222 218 213 192 144 126
LISBOA 1959 127 116 135 152 172 204 226 230 214 182 142 122
LISBOA 1960 114 126 138 163 178 210 223 216 213 167 147 113
LISBOA 1961 101 132 160 152 195 210 229 246 208 172 136 127
LISBOA 1962 109 110 128 149 170 215 212 229 214 194 123 99
LISBOA 1963 107 104 125 153 176 189 222 206 201 193 146 108
LISBOA 1964 108 122 126 145 189 209 218 234 234 182 139 93
LISBOA 1965 106 99 136 157 193 208 204 231 194 178 134 118
LISBOA 1966 133 130 137 152 186 204 220 224 230 168 116 107
LISBOA 1967 100 116 147 148 156 210 212 218 206 184 134 102
LISBOA 1968 110 118 124 139 172 200 226 224 206 200 146 117
LISBOA 1969 114 101 128 142 158 192 238 234 191 187 130 110
LISBOA 1970 120 117 121 151 181 191 224 216 223 189 165 81
LISBOA 1971 107 130 121 142 154 185 222 212 217 206 135 118
LISBOA 1972 106 116 121 155 156 172 214 218 196 169 146 116
LISBOA 1973 105 116 134 161 174 209 212 232 208 183 148 109
LISBOA 1974 127 120 128 138 176 197 242 228 198 162 143 116
LISBOA 1975 117 132 123 148 168 194 224 235 201 -9999 148 99
LISBOA 1976 99 126 140 139 174 225 230 234 202 171 126 125
LISBOA 1977 112 126 144 159 165 182 208 214 226 182 144 138
LISBOA 1978 114 130 135 137 165 182 224 225 240 183 148 140
LISBOA 1979 120 125 122 147 173 208 226 220 212 166 140 127
LISBOA 1980 119 133 136 167 170 198 220 232 226 186 137 106
LISBOA 1981 118 -9999 -9999 -9999 -9999 -9999 238 227 -9999 191 -9999 142
LISBOA 1982 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
LISBOA 1983 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
LISBOA 1984 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
LISBOA 1985 98 136 133 156 187 201 224 227 237 205 143 123
LISBOA 1986 115 119 132 129 182 -9999 234 218 221 198 147 118
LISBOA 1987 112 120 156 162 185 212 236 238 241 170 147 134
LISBOA 1988 124 120 146 153 160 195 218 227 235 190 153 112
LISBOA 1989 108 130 151 138 187 214 250 235 191 204 156 144
LISBOA 1990 112 144 156 147 195 204 243 236 221 185 143 109
