# Species data from IUCN (http://www.iucnredlist.org/)
# Climate and altitude data from worldclim (http://worldclim.org/)
lon;lat;sp.rich;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tavg1;tavg2;tavg3;tavg4;tavg5;tavg6;tavg7;tavg8;tavg9;tavg10;tavg11;tavg12;altitude
-77.5;72.5;10;7;7;9;14;16;22;45;53;39;27;16;10;-30.0107498168945;-32.1142501831055;-30.2427501678467;-23.0884990692139;-11.3402500152588;-1.2684999704361;3.29949998855591;0.920000016689301;-5.8602499961853;-14.7592496871948;-24.6917495727539;-29.0827503204346;876
-52.5;72.5;5;23;18;9;7;8;16;27;24;22;12;28;29;-27.8635005950928;-28.1582508087158;-26.8605003356934;-21.2215003967285;-11.366250038147;-4.15724992752075;0.519999980926514;-1.29250001907349;-9.21275043487549;-17.0454998016357;-22.7259998321533;-25.7705001831055;1485
-47.5;72.5;2;44;34;25;15;16;28;38;44;29;21;39;41;-32.7167510986328;-32.8889999389648;-32.3662490844727;-26.49049949646;-16.5564994812012;-9.41399955749512;-5.48024988174438;-8.48950004577637;-15.4672498703003;-24.2117500305176;-29.8649997711182;-31.4060001373291;2467
-42.5;72.5;1;83;69;54;32;31;45;54;73;51;43;66;71;-36.3647499084473;-36.0092506408691;-35.380500793457;-29.5310001373291;-19.4915008544922;-12.2980003356934;-9.14999961853027;-11.9704999923706;-18.7049999237061;-27.9777507781982;-33.8612518310547;-34.8084983825684;2899
-37.5;72.5;1;120;106;90;52;44;66;66;102;72;70;91;99;-38.2752494812012;-37.7862510681152;-37.3435020446777;-31.525749206543;-21.6014995574951;-13.8569993972778;-11.0392503738403;-13.2447500228882;-20.6372509002686;-30.1585006713867;-35.2557487487793;-36.960750579834;3166
-32.5;72.5;1;116;103;79;51;44;75;59;103;73;74;92;91;-34.6002502441406;-34.4852485656738;-34.4407501220703;-28.8627510070801;-18.9532508850098;-11.8707504272461;-9.07775020599365;-10.7945003509521;-17.8560009002686;-26.0557498931885;-31.0667495727539;-33.3797492980957;2682
-27.5;72.5;6;76;64;43;29;27;52;49;78;57;56;66;57;-21.7992496490479;-22.0065002441406;-22.230749130249;-18.8287506103516;-10.1767501831055;-4.25274991989136;-2.00999999046326;-2.44225001335144;-7.9837498664856;-14.6082496643066;-18.6205005645752;-20.9852504730225;1264
-22.5;72.5;1;46;37;26;15;15;22;37;45;37;34;34;35;-16.5233764648438;-17.5584411621094;-17.2993507385254;-13.8857145309448;-5.49155855178833;0.645454525947571;3.38636374473572;2.78766226768494;-2.48116874694824;-8.86493492126465;-13.4857139587402;-15.9499998092651;339
52.5;72.5;1;35;25;24;18;18;22;36;34;41;35;26;33;-15.1687498092651;-15.2781248092651;-12.3000001907349;-10.6437501907349;-3.76250004768372;1.875;6.44062519073486;6.32499980926514;3.50312495231628;-2.3125;-7.765625;-11.4250001907349;14
72.5;72.5;11;16;15;15;14;16;19;20;36;30;21;18;18;-26.3854999542236;-26.3892498016357;-21.9650001525879;-17.9505004882812;-8.33800029754639;0.28150001168251;5.73425006866455;5.99149990081787;2.54299998283386;-6.99175024032593;-16.2097511291504;-21.4137496948242;11
77.5;72.5;1;21;17;16;16;16;24;29;41;37;27;17;20;-27.5297508239746;-27.6292495727539;-23.0970001220703;-17.9562492370605;-8.21875;0.478249996900558;6.71750020980835;6.18274974822998;2.11224985122681;-8.47749996185303;-18.2905006408691;-23.5287494659424;6
82.5;72.5;10;29;24;25;18;18;29;35;45;37;33;25;28;-29.4160003662109;-29.1784992218018;-24.3024997711182;-17.9529991149902;-8.37925052642822;1.78824996948242;10.4849996566772;8.45050048828125;2.02725005149841;-9.72774982452393;-21.0915012359619;-24.886999130249;56
